CLID;Date;Vol
;12/31/2020;17841
;06/30/2021;18554
;05/31/2021;20218
;04/30/2021;27062
;03/31/2021;18378
;02/28/2021;19729
;01/31/2021;14159
CL35993;02/29/2020;815
;03/31/2020;910
;04/30/2020;1091
;05/31/2020;995
;06/30/2020;727
;07/31/2020;635
;08/31/2020;544
;09/30/2020;545
;10/31/2020;637
;11/30/2020;723
;12/31/2020;727
;06/30/2021;722
;05/31/2021;1039
;04/30/2021;1124
;03/31/2021;895
;02/28/2021;851
;01/31/2021;741
CL36191;01/31/2020;1172
;02/29/2020;1483
;03/31/2020;1484
;04/30/2020;1949
;05/31/2020;1635
;06/30/2020;1326
;07/31/2020;1012
;08/31/2020;1018
;09/30/2020;861
;10/31/2020;1173
;11/30/2020;1169
;12/31/2020;1323
;06/30/2021;1318
;05/31/2021;1656
;04/30/2021;1987
;03/31/2021;1528
;02/28/2021;1557
;01/31/2021;1183
CL37714;01/31/2020;11332
;02/29/2020;12748
;03/31/2020;14162
;04/30/2020;16992
;05/31/2020;15578
;06/30/2020;11330
;07/31/2020;9912
;08/31/2020;8496
;09/30/2020;8502
;10/31/2020;9917
;11/30/2020;11330
;12/31/2020;11328
;06/30/2021;11781
;05/31/2021;15424
;04/30/2021;16906
;03/31/2021;14020
;02/28/2021;13386
;01/31/2021;11896
CL37879;01/31/2020;358
;02/29/2020;508
;03/31/2020;458
;04/30/2020;655
;05/31/2020;506
;06/30/2020;458
;07/31/2020;308
;08/31/2020;353
;09/30/2020;252
;10/31/2020;402
;11/30/2020;352
;12/31/2020;457
;06/30/2021;472
;05/31/2021;499
;04/30/2021;665
;03/31/2021;459
;02/28/2021;519
;01/31/2021;358
CL38496;01/31/2020;20394
;02/29/2020;22941
;03/31/2020;25487
;04/30/2020;30586
;05/31/2020;28040
;06/30/2020;20393
;07/31/2020;17841
;08/31/2020;15298
;09/30/2020;15295
;10/31/2020;17846
;11/30/2020;20388
;12/31/2020;20391
;06/30/2021;20289
;05/31/2021;29437
;04/30/2021;32113
;03/31/2021;26762
;02/28/2021;22713
;01/31/2021;20286
CL43946;01/31/2020;11682
;02/29/2020;14802
;03/31/2020;14798
;04/30/2020;19470
;05/31/2020;16356
;06/30/2020;13245
;07/31/2020;10130
;08/31/2020;10124
;09/30/2020;8573
;10/31/2020;11682
;11/30/2020;11686
;12/31/2020;13239
;06/30/2021;13905
;05/31/2021;16273
;04/30/2021;20251
;03/31/2021;15092
;02/28/2021;15094
;01/31/2021;11799
CL44634;07/31/2020;326
;08/31/2020;202
;09/30/2020;283
;10/31/2020;243
;11/30/2020;368
;12/31/2020;285
;06/30/2021;292
;05/31/2021;495
;04/30/2021;467
;03/31/2021;451
;02/28/2021;320
;01/31/2021;361
CL46663;01/31/2020;2691
;02/29/2020;2129
;03/31/2020;3258
;04/30/2020;2978
;05/31/2020;3544
;06/30/2020;1845
;07/31/2020;2414
;08/31/2020;1281
;09/30/2020;2131
;10/31/2020;1560
;11/30/2020;2691
;12/31/2020;1843
;06/30/2021;1864
;05/31/2021;3527
;04/30/2021;3010
;03/31/2021;3387
;02/28/2021;2190
;01/31/2021;2719
CL49900;01/31/2020;484
;02/29/2020;546
;03/31/2020;609
;04/30/2020;727
;05/31/2020;663
;06/30/2020;489
;07/31/2020;422
;08/31/2020;366
;09/30/2020;365
;10/31/2020;428
;11/30/2020;486
;12/31/2020;488
;01/31/2021;483
CL49960;01/31/2020;13597
;02/29/2020;15298
;03/31/2020;16992
;04/30/2020;20394
;05/31/2020;18695
;06/30/2020;13597
;07/31/2020;11899
;08/31/2020;10197
;09/30/2020;10196
;10/31/2020;11895
;11/30/2020;13596
;12/31/2020;13595
;06/30/2021;13732
;05/31/2021;19253
;04/30/2021;20185
;03/31/2021;17502
;02/28/2021;16057
;01/31/2021;14276
CL50297;01/31/2020;864
;02/29/2020;765
;03/31/2020;1051
;04/30/2020;1053
;05/31/2020;1146
;06/30/2020;674
;07/31/2020;764
;08/31/2020;482
;09/30/2020;673
;10/31/2020;575
;11/30/2020;865
;12/31/2020;674
;06/30/2021;681
;05/31/2021;1136
;04/30/2021;1095
;03/31/2021;1043
;02/28/2021;797
;01/31/2021;859
CL50651;11/30/2020;916
;12/31/2020;1176
;06/30/2021;1193
;05/31/2021;1360
;04/30/2021;1768
;03/31/2021;1192
;02/28/2021;1332
;01/31/2021;941
CL52426;01/31/2020;1131
;02/29/2020;1268
;03/31/2020;1410
;04/30/2020;1688
;05/31/2020;1548
;06/30/2020;1127
;07/31/2020;984
;08/31/2020;850
;09/30/2020;850
;10/31/2020;986
;11/30/2020;1129
;12/31/2020;1131
;06/30/2021;1119
;05/31/2021;1598
;04/30/2021;1707
;03/31/2021;1404
;02/28/2021;1252
;01/31/2021;1119
CL55399;01/31/2020;318
;02/29/2020;453
;03/31/2020;411
;04/30/2020;588
;05/31/2020;457
;06/30/2020;410
;07/31/2020;273
;08/31/2020;317
;09/30/2020;233
;10/31/2020;367
;11/30/2020;322
;12/31/2020;407
;06/30/2021;409
;05/31/2021;459
;04/30/2021;591
;03/31/2021;421
;02/28/2021;456
;01/31/2021;316
CL57593;01/31/2020;1488
;02/29/2020;1674
;03/31/2020;1862
;04/30/2020;2231
;05/31/2020;2049
;06/30/2020;1489
;07/31/2020;1301
;08/31/2020;1118
;09/30/2020;1117
;10/31/2020;1301
;11/30/2020;1488
;12/31/2020;1489
;06/30/2021;1551
;05/31/2021;2067
;04/30/2021;2277
;03/31/2021;1854
;02/28/2021;1665
;01/31/2021;1516
CL60563;01/31/2020;644
;02/29/2020;814
;03/31/2020;814
;04/30/2020;1068
;05/31/2020;899
;06/30/2020;732
;07/31/2020;560
;08/31/2020;557
;09/30/2020;473
;10/31/2020;645
;11/30/2020;643
;12/31/2020;726
;06/30/2021;755
;05/31/2021;892
;04/30/2021;1125
;03/31/2021;828
;02/28/2021;855
;01/31/2021;668
CL61534;01/31/2020;6731
;02/29/2020;5312
;03/31/2020;8146
;04/30/2020;7438
;05/31/2020;8850
;06/30/2020;4608
;07/31/2020;6024
;08/31/2020;3188
;09/30/2020;5313
;10/31/2020;3897
;11/30/2020;6730
;12/31/2020;4607
;06/30/2021;4556
;05/31/2021;8806
;04/30/2021;7735
;03/31/2021;8064
;02/28/2021;5257
;01/31/2021;6996
CL64939;01/31/2020;1087
;02/29/2020;1224
;03/31/2020;1362
;04/30/2020;1633
;05/31/2020;1492
;06/30/2020;1091
;07/31/2020;950
;08/31/2020;818
;09/30/2020;820
;10/31/2020;954
;11/30/2020;1086
;12/31/2020;1091
;04/30/2021;1614
;03/31/2021;1426
;02/28/2021;1220
;01/31/2021;1113
CL67438;01/31/2020;303
;02/29/2020;304
;03/31/2020;375
;04/30/2020;407
;05/31/2020;405
;06/30/2020;267
;07/31/2020;264
;08/31/2020;195
;09/30/2020;232
;10/31/2020;233
;11/30/2020;306
;12/31/2020;267
;06/30/2021;261
;05/31/2021;405
;04/30/2021;422
;03/31/2021;390
;02/28/2021;304
;01/31/2021;302
CL69323;01/31/2020;30584
;02/29/2020;27186
;03/31/2020;37383
;04/30/2020;37379
;05/31/2020;40779
;06/30/2020;23788
;07/31/2020;27188
;08/31/2020;16996
;09/30/2020;23792
;10/31/2020;20390
;11/30/2020;30586
;12/31/2020;23787
;06/30/2021;24737
;05/31/2021;41598
;04/30/2021;38878
;03/31/2021;39253
;02/28/2021;27048
;01/31/2021;32111
CL71409;01/31/2020;866
;02/29/2020;1101
;03/31/2020;1103
;04/30/2020;1447
;05/31/2020;1213
;06/30/2020;988
;07/31/2020;752
;08/31/2020;756
;09/30/2020;641
;10/31/2020;867
;11/30/2020;866
;12/31/2020;986
;06/30/2021;997
;05/31/2021;1206
;04/30/2021;1519
;03/31/2021;1096
;02/28/2021;1110
;01/31/2021;880
CL75274;01/31/2020;9422
;02/29/2020;7438
;03/31/2020;11403
;04/30/2020;10408
;05/31/2020;12392
;06/30/2020;6449
;07/31/2020;8425
;08/31/2020;4464
;09/30/2020;7440
;10/31/2020;5452
;11/30/2020;9422
;12/31/2020;6445
;06/30/2021;6576
;05/31/2021;13012
;04/30/2021;10308
;03/31/2021;11287
;02/28/2021;7361
;01/31/2021;9604
CL75562;01/31/2020;19257
;02/29/2020;19258
;03/31/2020;23787
;04/30/2020;26053
;05/31/2020;26056
;06/30/2020;16993
;07/31/2020;16994
;08/31/2020;12464
;09/30/2020;14726
;10/31/2020;14726
;11/30/2020;19258
;12/31/2020;16992
;06/30/2021;17501
;05/31/2021;26834
;04/30/2021;26840
;03/31/2021;23553
;02/28/2021;19839
;01/31/2021;20221
CL79103;01/31/2020;277
;02/29/2020;244
;03/31/2020;337
;04/30/2020;332
;05/31/2020;362
;06/30/2020;213
;07/31/2020;248
;08/31/2020;156
;09/30/2020;218
;10/31/2020;182
;11/30/2020;276
;12/31/2020;218
;06/30/2021;220
;05/31/2021;370
;04/30/2021;331
;03/31/2021;332
;02/28/2021;250
;01/31/2021;289
CL79204;01/31/2020;1586
;02/29/2020;1412
;03/31/2020;1936
;04/30/2020;1939
;05/31/2020;2112
;06/30/2020;1230
;07/31/2020;1407
;08/31/2020;880
;09/30/2020;1233
;10/31/2020;1059
;11/30/2020;1586
;12/31/2020;1230
;06/30/2021;1291
;05/31/2021;2150
;04/30/2021;1991
;03/31/2021;2032
;02/28/2021;1438
;01/31/2021;1569
CL81431;01/31/2020;1211
;02/29/2020;1358
;03/31/2020;1507
;04/30/2020;1812
;05/31/2020;1663
;06/30/2020;1205
;07/31/2020;1059
;08/31/2020;910
;09/30/2020;910
;10/31/2020;1060
;11/30/2020;1205
;12/31/2020;1211
;06/30/2021;1193
;05/31/2021;1694
;04/30/2021;1791
;03/31/2021;1568
;02/28/2021;1399
;01/31/2021;1255
CL82440;01/31/2020;53
;02/29/2020;40
;03/31/2020;65
;04/30/2020;56
;05/31/2020;65
;06/30/2020;34
;07/31/2020;50
;08/31/2020;26
;09/30/2020;43
;10/31/2020;32
;11/30/2020;54
;12/31/2020;38
;06/30/2021;38
;05/31/2021;71
;04/30/2021;60
;03/31/2021;65
;02/28/2021;45
;01/31/2021;56
CL83029;01/31/2020;1283
;02/29/2020;1622
;03/31/2020;1628
;04/30/2020;2137
;05/31/2020;1795
;06/30/2020;1456
;07/31/2020;1112
;08/31/2020;1116
;09/30/2020;939
;10/31/2020;1282
;11/30/2020;1285
;12/31/2020;1452
;06/30/2021;1480
;05/31/2021;1869
;04/30/2021;2242
;03/31/2021;1655
;02/28/2021;1693
;01/31/2021;1275
CL83083;01/31/2020;1207
;02/29/2020;1530
;03/31/2020;1532
;04/30/2020;2014
;05/31/2020;1688
;06/30/2020;1368
;07/31/2020;1047
;08/31/2020;1050
;09/30/2020;890
;10/31/2020;1208
;11/30/2020;1205
;12/31/2020;1366
;06/30/2021;1397
;05/31/2021;1757
;04/30/2021;2092
;03/31/2021;1544
;02/28/2021;1547
;01/31/2021;1265
CL85641;01/31/2020;3405
;02/29/2020;3827
;03/31/2020;4248
;04/30/2020;5101
;05/31/2020;4675
;06/30/2020;3400
;07/31/2020;2976
;08/31/2020;2552
;09/30/2020;2550
;10/31/2020;2975
;11/30/2020;3399
;12/31/2020;3404
;06/30/2021;3501
;05/31/2021;4768
;04/30/2021;5254
;03/31/2021;4212
;02/28/2021;3808
;01/31/2021;3575
CL87149;01/31/2020;627
;02/29/2020;495
;03/31/2020;755
;04/30/2020;689
;05/31/2020;817
;06/30/2020;426
;07/31/2020;559
;08/31/2020;300
;09/30/2020;493
;10/31/2020;364
;11/30/2020;627
;12/31/2020;429
;06/30/2021;441
;05/31/2021;813
;04/30/2021;689
;03/31/2021;769
;02/28/2021;504
;01/31/2021;618
CL87299;01/31/2020;19825
;02/29/2020;28323
;03/31/2020;25490
;04/30/2020;36816
;05/31/2020;28322
;06/30/2020;25486
;07/31/2020;16995
;08/31/2020;19826
;09/30/2020;14163
;10/31/2020;22655
;11/30/2020;19822
;12/31/2020;25485
;06/30/2021;26509
;05/31/2021;28176
;04/30/2021;37182
;03/31/2021;25741
;02/28/2021;28605
;01/31/2021;20218
CL90358;01/31/2020;967
;02/29/2020;1088
;03/31/2020;1209
;04/30/2020;1449
;05/31/2020;1327
;06/30/2020;964
;07/31/2020;844
;08/31/2020;728
;09/30/2020;729
;10/31/2020;849
;11/30/2020;970
;12/31/2020;965
;06/30/2021;985
;05/31/2021;1318
;04/30/2021;1435
;03/31/2021;1221
;02/28/2021;1076
;01/31/2021;998
CL92654;01/31/2020;82
;02/29/2020;101
;03/31/2020;102
;04/30/2020;126
;05/31/2020;108
;06/30/2020;88
;07/31/2020;68
;08/31/2020;70
;09/30/2020;58
;10/31/2020;76
;11/30/2020;81
;12/31/2020;88
;06/30/2021;91
;05/31/2021;109
;04/30/2021;130
;03/31/2021;105
;02/28/2021;98
;01/31/2021;77
CL94846;01/31/2020;568
;02/29/2020;636
;03/31/2020;707
;04/30/2020;849
;05/31/2020;779
;06/30/2020;566
;07/31/2020;498
;08/31/2020;426
;09/30/2020;423
;10/31/2020;495
;11/30/2020;569
;12/31/2020;567
;06/30/2021;563
;05/31/2021;789
;04/30/2021;862
;03/31/2021;702
;02/28/2021;652
;01/31/2021;557
CL95487;01/31/2020;902
;02/29/2020;897
;03/31/2020;1112
;04/30/2020;1214
;05/31/2020;1219
;06/30/2020;795
;07/31/2020;794
;08/31/2020;581
;09/30/2020;690
;10/31/2020;690
;11/30/2020;899
;12/31/2020;793
;06/30/2021;820
;05/31/2021;1231
;04/30/2021;1204
;03/31/2021;1120
;02/28/2021;945
;01/31/2021;936
CL96487;01/31/2020;1244
;02/29/2020;1240
;03/31/2020;1534
;04/30/2020;1675
;05/31/2020;1680
;06/30/2020;1094
;07/31/2020;1095
;08/31/2020;807
;09/30/2020;950
;10/31/2020;947
;11/30/2020;1239
;12/31/2020;1092
;06/30/2021;1153
;05/31/2021;1659
;04/30/2021;1710
;03/31/2021;1546
;02/28/2021;1289
;01/31/2021;1236
CL96680;01/31/2020;1362
;02/29/2020;1719
;03/31/2020;1717
;04/30/2020;2259
;05/31/2020;1898
;06/30/2020;1539
;07/31/2020;1180
;08/31/2020;1175
;09/30/2020;999
;10/31/2020;1361
;11/30/2020;1358
;12/31/2020;1542
;06/30/2021;1553
;05/31/2021;1998
;04/30/2021;2309
;03/31/2021;1701
;02/28/2021;1790
;01/31/2021;1353
CL97995;01/31/2020;28034
;02/29/2020;24922
;03/31/2020;34268
;04/30/2020;34268
;05/31/2020;37380
;06/30/2020;21809
;07/31/2020;24920
;08/31/2020;15576
;09/30/2020;21809
;10/31/2020;18694
;11/30/2020;28037
;12/31/2020;21809
;06/30/2021;22463
;05/31/2021;38501
;04/30/2021;33923
;03/31/2021;35291
;02/28/2021;24798
;01/31/2021;29157
CL99496;01/31/2020;142
;02/29/2020;125
;03/31/2020;171
;04/30/2020;168
;05/31/2020;183
;06/30/2020;109
;07/31/2020;125
;08/31/2020;80
;09/30/2020;111
;10/31/2020;96
;11/30/2020;136
;12/31/2020;107
;02/28/2021;126
;01/31/2021;140
CL99768;01/31/2020;220
;02/29/2020;219
;03/31/2020;266
;04/30/2020;294
;05/31/2020;295
;06/30/2020;193
;07/31/2020;190
;08/31/2020;143
;09/30/2020;170
;10/31/2020;170
;11/30/2020;214
;12/31/2020;194
;06/30/2021;195
;05/31/2021;290
;04/30/2021;294
;03/31/2021;270
;02/28/2021;224
;01/31/2021;222
